connector,pin,col,row,signal
Conn0,L31,L,31,S3_TX7P
Conn0,A32,A,32,S3_RX14N
Conn0,B32,B,32,GND
Conn0,C32,C,32,S3_RX15N
Conn0,D32,D,32,GND
Conn0,E32,E,32,S3_RX7N
Conn0,F32,F,32,GND
Conn0,G32,G,32,S3_TX14N
Conn0,H32,H,32,GND
Conn0,J32,J,32,S3_TX15N
Conn0,K32,K,32,GND
Conn0,L32,L,32,S3_TX7N
Conn0,A33,A,33,GND
Conn0,B33,B,33,S3_RX13P
Conn0,C33,C,33,GND
Conn0,D33,D,33,S3_RX6P
Conn0,E33,E,33,GND
Conn0,F33,F,33,TEST3
Conn0,G33,G,33,GND
Conn0,H33,H,33,S3_TX13P
Conn0,J33,J,33,GND
Conn0,K33,K,33,S3_TX6P
Conn0,L33,L,33,GND
Conn0,A34,A,34,GND
Conn0,B34,B,34,S3_RX13N
Conn0,C34,C,34,GND
Conn0,D34,D,34,S3_RX6N
Conn0,E34,E,34,GND
Conn0,F34,F,34,TEST4
Conn0,G34,G,34,GND
Conn0,H34,H,34,S3_TX13N
Conn0,J34,J,34,GND
Conn0,K34,K,34,S3_TX6N
Conn0,L34,L,34,GND
Conn0,A35,A,35,S3_RX11P
Conn0,B35,B,35,GND
Conn0,C35,C,35,S3_RX12P
Conn0,D35,D,35,GND
Conn0,E35,E,35,S3_RX5P
Conn0,F35,F,35,GND
Conn0,G35,G,35,S3_TX12P
Conn0,H35,H,35,GND
Conn0,J35,J,35,S3_TX4P
Conn0,K35,K,35,GND
Conn0,L35,L,35,S3_TX5P
Conn0,A36,A,36,S3_RX11N
Conn0,B36,B,36,GND
Conn0,C36,C,36,S3_RX12N
Conn0,D36,D,36,GND
Conn0,E36,E,36,S3_RX5N
Conn0,F36,F,36,GND
Conn0,G36,G,36,S3_TX12N
Conn0,H36,H,36,GND
Conn0,J36,J,36,S3_TX4N
Conn0,K36,K,36,GND
Conn0,L36,L,36,S3_TX5N
Conn0,A37,A,37,GND
Conn0,B37,B,37,S3_RX10P
Conn0,C37,C,37,GND
Conn0,D37,D,37,S3_RX4P
Conn0,E37,E,37,GND
Conn0,F37,F,37,TEST5
Conn0,G37,G,37,GND
Conn0,H37,H,37,S3_TX11P
Conn0,J37,J,37,GND
Conn0,K37,K,37,S3_TX3P
Conn0,L37,L,37,GND
Conn0,A38,A,38,GND
Conn0,B38,B,38,S3_RX10N
Conn0,C38,C,38,GND
Conn0,D38,D,38,S3_RX4N
Conn0,E38,E,38,GND
Conn0,F38,F,38,TEST6
Conn0,G38,G,38,GND
Conn0,H38,H,38,S3_TX11N
Conn0,J38,J,38,GND
Conn0,K38,K,38,S3_TX3N
Conn0,L38,L,38,GND
Conn0,A39,A,39,S3_RX9P
Conn0,B39,B,39,GND
Conn0,C39,C,39,S3_RX2P
Conn0,D39,D,39,GND
Conn0,E39,E,39,S3_RX3P
Conn0,F39,F,39,GND
Conn0,G39,G,39,S3_TX10P
Conn0,H39,H,39,GND
Conn0,J39,J,39,S3_TX1P
Conn0,K39,K,39,GND
Conn0,L39,L,39,S3_TX2P
Conn0,A40,A,40,S3_RX9N
Conn0,B40,B,40,GND
Conn0,C40,C,40,S3_RX2N
Conn0,D40,D,40,GND
Conn0,E40,E,40,S3_RX3N
Conn0,F40,F,40,GND
Conn0,G40,G,40,S3_TX10N
Conn0,H40,H,40,GND
Conn0,J40,J,40,S3_TX1N
Conn0,K40,K,40,GND
Conn0,L40,L,40,S3_TX2N
Conn0,A41,A,41,GND
Conn0,B41,B,41,S3_RX8P
Conn0,C41,C,41,GND
Conn0,D41,D,41,S3_RX1P
Conn0,E41,E,41,GND
Conn0,F41,F,41,TEST7
Conn0,G41,G,41,GND
Conn0,H41,H,41,S3_TX9P
Conn0,J41,J,41,GND
Conn0,K41,K,41,S3_TX0P
Conn0,L41,L,41,GND
Conn0,A42,A,42,GND
Conn0,B42,B,42,S3_RX8N
Conn0,C42,C,42,GND
Conn0,D42,D,42,S3_RX1N
Conn0,E42,E,42,GND
Conn0,F42,F,42,TEST8
Conn0,G42,G,42,GND
Conn0,H42,H,42,S3_TX9N
Conn0,J42,J,42,GND
Conn0,K42,K,42,S3_TX0N
Conn0,L42,L,42,GND
Conn0,A43,A,43,PCIE_RX1P
Conn0,B43,B,43,GND
Conn0,C43,C,43,PCIE_RX0P
Conn0,D43,D,43,GND
Conn0,E43,E,43,S3_RX0P
Conn0,F43,F,43,GND
Conn0,G43,G,43,S3_TX8P
Conn0,H43,H,43,GND
Conn0,J43,J,43,PCIE_TX1P
Conn0,K43,K,43,GND
Conn0,L43,L,43,PCIE_TX0P
Conn0,A44,A,44,PCIE_RX1N
Conn0,B44,B,44,GND
Conn0,C44,C,44,PCIE_RX0N
Conn0,D44,D,44,GND
Conn0,E44,E,44,S3_RX0N
Conn0,F44,F,44,GND
Conn0,G44,G,44,S3_TX8N
Conn0,H44,H,44,GND
Conn0,J44,J,44,PCIE_TX1N
Conn0,K44,K,44,GND
Conn0,L44,L,44,PCIE_TX0N
Conn0,A45,A,45,GND
Conn0,B45,B,45,PCIE_RX3P
Conn0,C45,C,45,GND
Conn0,D45,D,45,PCIE_RX2P
Conn0,E45,E,45,GND
Conn0,F45,F,45,PE_REFCLKP
Conn0,G45,G,45,GND
Conn0,H45,H,45,PCIE_TX3P
Conn0,J45,J,45,GND
Conn0,K45,K,45,PCIE_TX2P
Conn0,L45,L,45,GND
Conn0,A46,A,46,GND
Conn0,B46,B,46,PCIE_RX3N
Conn0,C46,C,46,GND
Conn0,D46,D,46,PCIE_RX2N
Conn0,E46,E,46,GND
Conn0,F46,F,46,PE_REFCLKN
Conn0,G46,G,46,GND
Conn0,H46,H,46,PCIE_TX3N
Conn0,J46,J,46,GND
Conn0,K46,K,46,PCIE_TX2N
Conn0,L46,L,46,GND
Conn0,A47,A,47,PCIE_RX6P
Conn0,B47,B,47,GND
Conn0,C47,C,47,PCIE_RX5P
Conn0,D47,D,47,GND
Conn0,E47,E,47,PCIE_RX4P
Conn0,F47,F,47,GND
Conn0,G47,G,47,PCIE_TX6P
Conn0,H47,H,47,GND
Conn0,J47,J,47,PCIE_TX5P
Conn0,K47,K,47,GND
