row,signal,direction,description,voltage,recommendation,diff_pairs,se_pins,connector
76,MNGMT_LINK0Tp/n,Output,Vendor specific module to module management link port 0 transmit,,Required for some accelerators. Check with accelerator vendor.,1,,Conn1
77,MNGMT_LINK0Rp/n,Input,Vendor specific module to module management link port 0 receive,,Required for some accelerators. Check with accelerator vendor.,1,,Conn1
78,MNGMT_LINK1Tp/n,Output,Vendor specific module to module management link port 1 transmit,,Required for some accelerators. Check with accelerator vendor.,1,,Conn1
79,MNGMT_LINK1Rp/n,Input,Vendor specific module to module management link port 1 receive,,Required for some accelerators. Check with accelerator vendor.,1,,Conn1
80,TEST0,Input,,Vref,Demux all 8 OAMs' test pin,,1,Conn0
81,TEST1,Input,,Vref,Demux all 8 OAMs' test pin,,,Conn0
82,TEST2,Input,,Vref,Demux all 8 OAMs' test pin,,,Conn0
83,TEST3,Input,,Vref,Demux all 8 OAMs' test pin,,,Conn0
84,TEST4,Input,,Vref,Demux all 8 OAMs' test pin,,4,Conn0
85,TEST5,I/O,,Vref,Demux all 8 OAMs' test pin,,1,Conn0
86,TEST6,I/O,,Vref,Demux all 8 OAMs' test pin,,1,Conn0
87,TEST7,Output,,Vref,Demux all 8 OAMs' test pin,,1,Conn0
88,TEST8,Input,,Vref,Demux all 8 OAMs' test pin,,1,Conn0
89,TEST9,Input,,Vref,Demux all 8 OAMs' test pin,,1,Conn0
90,TEST10,Input,,Vref,Demux all 8 OAMs' test pin,,1,Conn1
91,TEST11,Output,,Vref,Demux all 8 OAMs' test pin,,1,Conn1
92,TEST12,Input,,Vref,Demux all 8 OAMs' test pin,,1,Conn1
93,TEST13,Input,,Vref,Demux all 8 OAMs' test pin,,1,Conn1
94,TEST14,Input,,Vref,Demux all 8 OAMs' test pin,,1,Conn1
95,MANF_MODE#,Input,"Manufacturing Mode
1: Normal operation
0: Module enter into manufacturing mode",3.3V,Tie all OAMs MANF_MODE# together and connect to a jumper,,1,Conn0
96,FW_RECOVERY#,Input,"On board manageability boot recovery mode
1: Normal operation
0: Firmware Recovery boot mode",3.3V,Tie all FW_recovery# together and connect to a jumper,,1,Conn0
97,TEST_MODE#,Input,"Compliance Test Mode
1: Normal operation
0: ASIC/GPU enter into electrical compliance mode",Vref,Tie all Test_mode# together and connect to a jumper,,1,Conn0
98,RFU,,Reserved for future use,,,,4,Conn0
99,RFU,,Reserved for future use,,,,23,Conn1
100,Sub Total,,,,,264,83,
102,Total pin locations,,,,,611,,
103,Total in diff pairs,,,,,305.5,,
